Method,NDCG@5,NDCG@10,NDCG@15,NDCG@20,Precision@5,Precision@10,Precision@15,Precision@20,Recall@5,Recall@10,Recall@15,Recall@20
original,0.3391602052736161,0.35314377643380923,0.41095077651751466,0.6165758761964298,1.0,1.0,0.75,0.375,0.2,0.3,0.3,0.3
gpt4_p1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt4_p2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt3.5_p1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt3.5_p2,1.0,0.9363792118010483,0.9363792118010483,0.9363792118010485,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9
gpt3.5_p3,1.0,0.9363792118010483,0.9914021533755684,0.9914021533755686,1.0,1.0,0.9,0.9,1.0,0.9,0.9,0.9
llama7b_p1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
llama7b_p2,1.0,0.8701249883466594,0.8701249883466594,0.8701249883466594,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8
llama7b_p3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
llama13b_p1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
llama13b_p2,1.0,0.9363792118010483,0.9363792118010483,0.9363792118010485,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9
llama13b_p3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
llama34b_p1,1.0,0.727329844310522,0.727329844310522,0.8283626310969826,1.0,1.0,1.0,0.75,1.0,0.6,0.6,0.6
llama34b_p2,1.0,0.8701249883466594,0.9264592421252196,0.9264592421252196,1.0,1.0,0.8888888888888888,0.8888888888888888,1.0,0.8,0.8,0.8
llama34b_p3,1.0,0.8701249883466594,0.8701249883466594,0.8701249883466594,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8